Discogs_Artists,Discogs_Titles,Discogs_Labels,Discogs_Tags,Discogs_Countries,Discogs_Years,Discogs_Search_Filters,Discogs_Urls,Discogs_Formats,Discogs_Tracklist,Discogs_YouTube_Videos
Giorgio Moroder,Midnight Express (Music From The Original Motion Picture Soundtrack),,,,,"style_exact, Ambient",https://discogs.com/release/29020012-Giorgio-Moroder-Midnight-Express-Music-From-The-Original-Motion-Picture-Soundtrack,,,
Kamran Arashnia,Bounds Elimination,,,,,"style_exact, Ambient",https://discogs.com/release/28991071-Kamran-Arashnia-Bounds-Elimination,,,
Elektro,Elektro,,,,,"style_exact, Ambient",https://discogs.com/release/28986931-Elektro-Elektro,,,
Raccoon Fink,Light Roast: Songs From Percolate,,,,,"style_exact, Ambient",https://discogs.com/release/28973434-Raccoon-Fink-Light-Roast-Songs-From-Percolate,,,
Hubris.,Apocryphal Gravity,,,,,"style_exact, Ambient",https://discogs.com/release/28965628-Hubris-Apocryphal-Gravity,,,
Road To Saturn,Light Nearing,,,,,"style_exact, Ambient",https://discogs.com/release/29146495-Road-To-Saturn-Light-Nearing,,,
pl8,Amazed that The Day Is Not Over,,,,,"style_exact, Ambient",https://discogs.com/release/29189653-pl8-Amazed-that-The-Day-Is-Not-Over,,,
Arthur Russell,World Of Echo,,,,,"style_exact, Ambient",https://discogs.com/release/29186995-Arthur-Russell-World-Of-Echo,,,
Demon Grrl,Rhea,,,,,"style_exact, Ambient",https://discogs.com/release/29223160-Demon-Grrl-Rhea,,,
Kask ,Sae,,,,,"style_exact, Ambient",https://discogs.com/release/29222341-Kask-Sae-,,,
Lindsheaven Virtual Plaza,Rainforest Hill (I + II),,,,,"style_exact, Ambient",https://discogs.com/release/29214049-Lindsheaven-Virtual-Plaza-Rainforest-Hill-I-II,,,
Mourning Souls,Ambient 2,,,,,"style_exact, Ambient",https://discogs.com/release/29213071-Mourning-Souls-Ambient-2,,,
Kingsrhyme,Brain Machine Interface,,,,,"style_exact, Ambient",https://discogs.com/release/29207638-Kingsrhyme-Brain-Machine-Interface,,,
Field Of Fear ,Beyond The Reach Of Light,,,,,"style_exact, Ambient",https://discogs.com/release/29196592-Field-Of-Fear-Beyond-The-Reach-Of-Light,,,
Merely,Sculpture,,,,,"style_exact, Ambient",https://discogs.com/release/29096935-Merely-Sculpture,,,
